headline,display_title,publisher,year,month,month_number,day,web_links,pdf_links,description,my_role,subjects,skills,image_path
"Nationwide migration slowdown stalls Texas growth, census estimates show",Nationwide migration slowdown stalls Texas growth,Dallas Morning News,2026,February,2,6,https://www.dallasnews.com/news/2026/02/06/nationwide-migration-slowdown-stalls-texas-growth-census-estimates-show/,https://drive.google.com/file/d/1N-kjROuCBLucpm4jk1a4f6gQlCCEQsxQ/view?usp=drive_link,"For this article, I quickly contextualized how low migration rates have contributed to a slowdown in Texas’ population growth. While the slowdown in domestic movement to the state was shocking compared to previous years, Texas still retained its near No. 1 ranking among U.S. states. I resolved the apparent conflict between these two trends in the story by examining the wider context of decreased migration nationwide.","I reported, wrote, performed data analysis and made data visualizations for this article.  ","economy, demographics","data, flourish",images/dmn-migration.png
"TwoSet Violin pulls a young, enthusiastic audience to Symphony Center: ‘Classical music can compete with brainrot'","TwoSet Violin pulls a young, enthusiastic audience to Symphony Center",Chicago Tribune,2025,October,10,15,https://www.chicagotribune.com/2025/10/15/twoset-violin-pulls-a-young-enthusiastic-audience-to-symphony-center-classical-music-can-compete-with-brainrot/?share=cbh1ishs1couat1a2nwy,https://drive.google.com/file/d/16uGJa0_Lw4dH-y16RQJ47hnN5SPrfj40/view?usp=sharing,"As part of my recent foray into entertainment reporting, I covered classical music comedy duo TwoSet Violin’s October concert in Chicago. To give the story focus amidst the performers’ barrage of bizarre social media gimmicks, I incorporated their insights about burnout and realism into my story. ",I reported and wrote this article.,"music, entertainment, education",access reporting,images/ct-twoset.png
"Federal investigation, lab closure preceded Northwestern Feinberg professor’s death","Federal investigation, lab closure preceded Northwestern Feinberg professor’s death","AAJA VOICES, AsAm News, Technical.ly and The Daily Northwestern",2025,August,8,17,"https://dailynorthwestern.com/2025/08/17/featured-stories/in-focus/federal-investigation-lab-closure-preceded-northwestern-feinberg-professors-death/, https://dailynorthwestern.com/2025/08/26/featured-stories/china-initiative/",,"A dozen interviews and analysis of more than 130 pages of public records culminated in a two-part investigation into one of the most acute cases of the U.S. government’s scrutiny of Chinese American scholars: the NIH investigation, lab closure and suicide of neuroscience Professor Jane Wu. Part 1, linked here, hit at least 30,000 page views in the first week of publication.","I reported, wrote and made data visualizations for this article.","education, immigration, science, politics","FOIA, data, flourish, investigation",images/dn-nih.jpg
Mayor Brandon Johnson’s new speed cameras see big early revenue as aldermen tout safety impact,Mayor Brandon Johnson’s new speed cameras see big early revenue,Chicago Tribune,2025,September,9,7,https://www.chicagotribune.com/2025/09/07/mayor-brandon-johnson-new-speed-cameras-big-early-revenue/?share=iwaene7g9uwrcnen2obo,https://drive.google.com/file/d/10tWJlmJaSnaFepfVyYYShVIupHWhXO3F/view?usp=sharing,"Examining almost 850,000 rows of ticket data from Chicago’s Finance Department, I analyzed how much money the city’s new traffic speed cameras collected in the first half of 2025. Because of the data’s granularity, we were able to identify which specific sites hit drivers the hardest — exploring the intricate tension between traffic safety and revenue generation.","I performed data analysis, made data visualizations and interviewed residents for this story. I also co-interviewed quoted alderpeople and co-wrote this story with a City Hall reporter. ","transportation, local government","data, flourish, mapping",images/ct-speed-cams.png
